title	release_date	album	lyrics
The Rebel		Situation 	mavericks and renegades belt buckle brandishes baseball bats and we dealt knuckle sandwiches motor psycho organized deadly doctrine around back soundtrack   steady rocking eddie cochran gene vincent supreme instant acceleration contradictory bowling alley victory celebration with broken bones outspoken condones smoking winstons backseat bingo and pink flamingo for instance  ripped in half the joker and the devil the slower and the several im lowering my level repeat im running from the law breaking the law  solitary alignment jack of diamonds cuts glass remain solid chain wallet switch blade and ducks ass deluxe class top model toiled alone court order spoiled motor oil cologne the wild one on top of it the opposite of wholesome isnt innocent fair trial hairstyle folsom prison square mile iconoclast outclassed concerned mother i learned from her   how to take a hit and burn rubber   johnny guitar scarred quicker part time card flicker bootlegger roustabout douse the flames with hard liquor hair pins and wide turns do things on my terms cuffs in my jeans leather jacket and sideburns   thats class at last slowpokes i blast past cold war brewing i dont give a rats ass miserable fights for civil rights bag faces pinball pretty girl in bondage and drag races
The Outskirts		Situation 	young and attractive quote unquote old soul down in a cold hole playing my controlled roll the world is mine good and bad i never sleep odd charms firetrucks and squad cars struggling in gods arms tempted and restless blood in my arteries floods in the armouries drugs are a part of me circus in fun time surface in sunshine brush your teeth dont believe so much darkness underneath parties and funerals nurseries and graveyards lotteries robberies an old couple plays cards company visitors frequency rise on weekends a sequence of secrets and lies oddities prodigies fireworks parades for me same story all my decisions are made for me reading from loose leaf mislead and seduce me im so full of love and bleeding profusely refrain concrete and steel i remember these drums a chill in the air in september she comes pretty and sad trying not to cry trying not to cry so pretty and so sad x2 these are my telephone poles my dark trenches my broken windows my park benches raccoons and back rooms giants and small childrens glitter in traffic the outlines of tall building still in self defence i kill yes i will if they make me do things against my will some make fun of what i wear and cut my hair goblins and problems ive got my share i bitch and complain and i admit that its strange parts of my self that i wish i could change insecurities complexes xs and marking spots complicated beauty of abandoned buildings and parking lots market thoughts and impulses rebellion and upheaval tribal indescribable pleasure in such evil review the proof crime is going through the roof accuse the youth youd puke if you knew the truth refrain x2 voice love me once again voice indistinguishable
Double Header	2003-09-16	Skratch Bastid Presents: Cretin Hip Hop Vol. 1 (Buck 65 Mixtape)	the women here are just like in magazines stern too precious pissy ferocious blank just so bodies like twelve year old boys faces like casino poker dealers plastic and distant they look right through you and are only interested in your money and they all smoke gorgeous and boring who are they talking to on their tiny phones psychics drug dealers crisis line operators or maybe the ghost of serge geinsburg what music do they listen to or do they listen to music at all whole world blown apart i hate to think weve grown apart kicking a tin can along rue bonepart wind in my ears my hands are getting soft shoes on trying to chew what ive bitten off atrophy setting in now im feeling lonely mostly bells on sunday got me feeling holy ghostly whos drinking the booze whos singing the blues hangmans messenger is bringing the news ive got 2 weeks left and then its back to the mill strength in my legs is practically nill im swinging an imaginary bat at some imaginary pitches and bitching like a typical sagittarius im out of my element and up to my neck im psychic extra sensitive and i dont like it not one bit im feeling rather low on charm feeling in my chest and tingle in my throwing arm lets play too there may not be a tomorrow magpies wiener dogs lets at least shag flies no run limit no in field fly rule i havent felt this alone since high school i write it in graffiti with a wonderful bubble letter two most glorious words double header amusements and curiosities the greatest nostalgia is that for what has never truly been no more ted williams no more jimmy rogers no more hemingway no more henry miller no more amusements and curiosities no one seems to know the date it rains here everyday boredom is beginning to creep in in a heavy way im restless and withered faces all turned to stone dishwater grey smells like a nursing home i dig in my pockets and find that the loves gone out in the street with my uniform and gloves on hands tied behind my back still cant get my kicks maybe ill fix up when the weather picks up i wander the field and listen for the curtain call im certain to always be the last to know first of all and secondly im technically all out of commission i gather my things but id rather be fishing im landlocked and worn out working with the new machine diamonds in the dirt are too far away and few between so dress me up and take me out still cant make me drink im at my limit cold and getting older by the minute
Square One	2002-01-01	Square	some mumbling pretty soon the hippies of today will be the squares of tomorrow 0139 song 1 it was the echoing voices of the old ones through thick steeled forests and over scorched earth always just out of reach a murder of crows judged my every footstep my bones were frozen penniless and entirely out of breath i washed my beautiful hands in the black market dog water trough but through it all the real stick in my spokes was the torment of my dreams i fought of sleep with both fists and sometimes fire with no more than a blow gun i made from an exhausted pen i shot the stars out of the sky when each one fell sparkling to the ground i made wishes that never came true apparitions of angels with angry eyes appeared at each new moon my own ghost be gain whispering trees died if i tried to climb them the decision was made for me to begin interpreting real life just as i would nightmares more mumbling 0350 song 2 buck 65 buck 65 buck 65 buck 65 buck 65 buck 65 watching an already dead world vanish we the banished and outlawed wander hither and yonder like dogs gone hungry funky and angry and sometimes ugly drums like drugs have turned us to scavengers pathfinders addicts and mathematicians practitioners of black magic we make music from used up junk and bad luck dreams liars and losers emus and aardvarks gypsies and pen thieves peddlers card sharks all of us fortune tellers home in the forest hard core building a cardboard fortress forward fast and backwards blindfolded trying to find gold buried in flood planes covered in blood stains fly bites and egg yolk running away with one of my legs broke sometimes its lonesome traveling homeless not knowing where youre going riding the railroads pickups and sailboats most of the loco motives once we decide to see some of the country side working with circus performers and cut throats discussions with perfectionists perverts and poets havent you ever heard of the 1200 hoboes we aint vampires dressed like rock stars we build campfires and ride box cars town to town we just write songs and plus we stay up like all night long but we aint vampires dressed like rock stars we build campfires and ride box cars town to town we just write songs and plus we stay up like all night long 0518 song 3   phil appeared on the other bucks albums 20 some years is a long walk even if its not in a straight line you see a lot of things in the distance you know what they say about great minds you and i think about the same things dream the same dreams play the same games we started out in the same place believe it or not we got the same names everything happens for a good cause whether it be victory or loss and the road may turn into a run way but youll know what to do someday trust me ive seen it all before ive climbed to the tops of the tallest trees to get away from the deep water to find the touch of the smallest breeze youll find a girl with a low voice who holds the world in her bare hands youll fall in love youll have no choice once you are given a fair chance for the first time you will sleep well take a deep breath see the sun shine hold on to her for dear life and then watch the whole world unwind ask her to show you some magic and i guarantee that she will say yes tell her youve seen forever and youll be together not a day less just know until that time comes and after you cross that first mile that the hardest part is behind you and all of the pain will be worthwhile from storm clouds come angels let pain give you pleasure from dirt grows the flower when faith cant be measured from storm clouds come angels let pain give you pleasure from dirt grows the flower when faith cant be measured 0905 song 4 i know a man who was born with his heart on the outside every mans worst fear he also had heavy hands he couldnt touch his lovers face he couldnt hold a baby he would never desert them but he was worried he would hurt them maybe mad at the world his face turned hot pink the best he could do was just try to not think but he was too bothered so he would only try rarely he read the last page of every book in the library he lacked the charisma of a true revolutionary crime fighter would try to write but kept breaking his typewriter he preaches manifesto like a militant radical was diligent but his greatest mistakes were grammatical if he only spent more time rehearsing and preparing there wouldnt have to be so much cursing and swearing eyes on fire his volume was blistering no one had taught him about the power of whispering he is dynamite blows kisses eats dirt his mouth of a volcano he is a t shirt he stands on stilts but doesnt stand for funny stuff ask me he just hasnt been around the sun enough he paints self portraits with a roller only eats corn and then tries to sell his own soul on a street corner he always remembers everyones numbers and sometimes cries into his own cumbersome hands scratching mixes 1138 song 5 sometimes dumb crimes blow my mind and lord knows i try to close my eyes but it happens so fast i keep my eye on the ball but still i never asked to be a fly on the wall and like sometimes dumb crimes blow my mind and lord knows i try to close my eyes but it happens so fast i keep my eye on the ball but still i never asked to be a fly on the wall read beginning to end and measured sideways ive traveled the length of your desert highways been under your bed and slept in ditches i saw your scars was kept in stitches to keep from crying im trying not to pay attention but as i may have mentioned im being held hostage im lost and exhausted i want to go home now but im too far gone and i dont even know how the silent knight and tarnished armor charming and harmful the charma chameleon might get violent dancing with shadows and playing charades its the minimal plan of the invisible man and whats it like living life you may ask standing on the other side a two way glass well its not what its cracked up to be ill tell you that much you can look but you cant touch like sometimes dumb crimes blow my mind and lord knows i try to close my eyes but it happens so fast i keep my eye on the ball but still i never asked to be a fly on the wall and like sometimes dumb crimes blow my mind and lord knows i try to close my eyes but it happens so fast i keep my eye on the ball but still i never asked to be a fly on the wall all i want to do is go fly a kite or take a hike and try and keep myself from taking a flying leap theres ringing in my ears especially at night kaleidoscopic visions of a cocaine cat fight people play parlor games behind closed doors secrets are sacred when nobody knows yours but somebody does you forgot about the bottom feeders the dirty rotten cheaters and all of the stock breeders sometimes dumb crimes blow my mind and lord knows i try to close my eyes but it happens so fast i keep my eye on the ball but still i never asked to be a fly on the wall and like sometimes dumb crimes blow my mind and lord knows i try to close my eyes but it happens so fast i keep my eye on the ball but still i never asked to be a fly on the wall
Square Two	2002-01-01	Square	song 1 the man with the hair would talk real loud he made feel proud for not being afraid he helped me get over my fear of the dark and of the unknown in the year of the shark wed meet in secret at the ends of the weeks and we were friends of the freaks and the misunderstood wed listen to jazz or go for a drive and im just glad we both were alive and everyone knew that the giant was john and no one had heard him once say a bad word some say hes perverted or maybe a manchild just cause his imagination ran wild and whats wrong with that in a world gone a fishing you want to run away from a man on a mission wow bob wow wake up and smell the coffee enjoy the scenery and the sounds of machinery me and the man with the hair would compare notes we both wear boots and drink rootbeer floats we told jokes with old folks and lit things on fire and we all fall down in a small small town but now its dark and we follow the weird words of murmuring burglars and murderers further than our father figures the nasty ghastly devious and blasphemous provides a more lasting fascination for us both song 2   stupid appeared on the album boy girl fight swimming upstream young men and women are fiending for immediate intimacy with no limitiations alas the skirts dont hide the shadows cast by the bare ass on the dancefloor sexual warfare waits in the staircase and therefore most of them probably shouldnt even really be there in the first place unarmed soldiers of lust rub shoulders with those older and more immature than them its disgusting yet intruiging to see overachieving greasers unleashing themselves upon the female species especially when the weather gets warmer and then the whole entire wardrobe is normally informal for your information the hats are worn backwards and so are the morals when the girls wear overalls its a sensitive issue involving insecurity maturity levels and lots of toilet tissue cause the girls are desperate but the boys are even hornier the rose smells sweet but the stem is even thornier its a match made in purgatory what more do you want to know the girls get goosebumps and nipples to notice but no one knows how to communicate its useless when lies are told with closed eyes and everybody tries to disguise their own flaws when the guys go we need females and we read details its card tricks and hard dicks and a beat that goes like uh uh uh yeah uh huh uh uh yeah the neat part of the meat market apart from the darkness and lots of narcotics to me is the hard rocks no one needs to be told twice theres plenty of cold ice just tight pants and old spice who take shots and roll dice the carpets are crumby with puke coming out of them its putrid and stupid why dont you make a contribution to the plan gathering as a matter fact word what do you say this thursday the girls are desperate but the boys are even hornier the rose smells sweet but the stem is even thornier its a match made in purgatory what more do you want to know it smells like everything inside of the hideout but i doubt anyone really wants to know why oh my goodness gracious the place is basically bulging with people indulging in all kinds of fabric its a magical buffet of pheromones and flesh that defies all logic its just like dodgeball but instead of a ball the contestants throw around the head of a doll and i dont know what it means but it makes it worth the cost alone even with the overflowing load of testosterone the sexual appetites are salty its a circus the circuits are faulty and everybodys uptight with sweat stains and jet planes and hot rod love songs blistering kisses for every mister and misses in the same of time it takes for you to make a sandwich love you can probably find someone for you to take advantage of cause the girls are desperate but the boys are even hornier the rose smells sweet but the stem is even thornier its a match made in purgatory what more do you want to know  song 3 my long lost best friend was born to be wild when i was a kid i conformed to his style b boy deluxe from yankees to canucks with connects and contacts and always came correct exact him except he was easily distracted by sleaziness even when we shouldve been practicing because back when we had peach fuzz he was freaking out each weekend and speaking of waiting for the end of the world he befriended a girl with a heart made of glass and was afraid to ask if he was falling in love falling asleep falling apart or all the above he was a fling and she was his weakness kissing his cheeks and playing with his paychecks at breakneck speed he was heading for a dead end pretending he was healthy and defending himself he would always exaggerate and use his imagination waiting for someone to say congradulations but i wasnt exactly happy for him actually after turning his back to me gradually i call it a tragedy watching him disappear this year its crystal clear listen here stop this crazy thing youre all dressed up with nowhere to go and your heads all messed up stop this crazy thing youre all dressed up with nowhere to go and your heads all messed up stop this crazy thing youre all dressed up with nowhere to go and your heads all messed up stop this crazy thing youre all dressed up with nowhere to go and your heads all messed up stop this crazy thing youre all dressed up with nowhere to go and your heads all messed up
Square Four	2002-01-01	Square	intro  0023 song 1 science is mouthwash science is for the birds science is sewage science is more than words science is baseball science is love science is all of the above some people and their kids like to talk with their anus their  and operations were painless i cant see where theyre coming from with night vision goggles the kind of blind ignorance that boggles the mind and im for sure not feeling them because theyre so dull and pointless sexual deviance and joints this flexible dont go together like acids and bases even without the thick glasses and brasses everyone can join a scientific community the sound of silence if its in unity can be just as deafening as an experience so keep your mouth closed and think of it as an experiment try to avoid using words like intelligent original or scientific cause they are irrelevant if you dont submit the proof to reinforce youll have to settle for a dean of course science is fashion science is spaceships science is fiction science is relationships science is sunsets science is love science is all of the above give me all you got and ill ask for more again the furthest part from the origin is the origin birth and death is passage through the same portal hope condoling for the immortal soul revolving doors four revolving cores in essences relaying messages and teaching lessons im here to draw the curtains and to give directions offer a few choices and make a few selections of my own this game is such a gas that kid wears a t shirt that says a touch of class running around with a mic in his hand money to spend and is liked by the fans praises the almighty and plays by rules but his dog shit  was raised by wolves and even though he comes from a different income group its not hard to tell that hes a nincompoop science is fine art science is reckless science is sickness science is breakfast science is nothing science is love science is all of the above 0317 instrumental 0512 song 2   the food song mmmm food it puts me in a good mood it keeps me goin when under strains aint nothin worse than hunger pains right there start with light fair if need be snacks with an x whatever just feed me some food food it puts me in a good mood it keeps me goin when under strains aint nothin worse than hunger pains right there start with light fair if need be snacks with an x whatever just feed me im hungry and im itchin to get in the kitchen so let me consider whats in the refrigerator for some ingredients needed good eggs wheat and flour for something salty or maybe sweet and sour let me fill my dishes with delicious fish and brown rice sounds nice but i cant argue with barbecue unforgettable edibles fresh fruits and vegetable a tomato tornado a plate of mashed potatoes im droolin for tabooli salad lentils and chick peas im ready for spaghetti and cold cuts with brick cheese i cant say no to risotto im lost in dreams cobbler after i eat lobster alone with a couple of pieces of cheese pizza maybe i can manage to do some damage to a sandwich marshmallows peanut butter and bananas and a big p of deserts like pumpkin pies and boston creams i gobble a peachlate of gnocci from lucky with pita bread feed me a fajita or else a burrito stead ill tell you bout the merits of carrots my knowledge of scallops and my advice on brown rice for the right price you can begin to dig in to more than balogna and finish your bowl of minestrone please make cheese cake everybody wants a lot of avocado and a chicken or gelatto watch me wolf down a full pound minimum of chocolate cookies and rice pudding with cinnamon im starving for fried calimari with seaweed trying to save room for strawberries and kiwis to satisfy itll take more than a little plate of french fries falafes waffels and griddle cakes all this might be enough but im doubtful so im gonna savour the flavour of every mouthful of food it puts me in a good mood it keeps me going when under strains aint nothing worse than hunger pains right there start with light fair if need be snacks with an x whatever just feed me some food food it puts me in a good mood it keeps me going when under strains aint nothing worse than hunger pains right there start with light fair if need be snacks with an x whatever just feed me some food 0847 song 3  1120 instrumental
Square Three	2002-01-01	Square	song 1   scetch artist appeared on the album boy girl fight music to be murdered by it is mood music in a juggular vein and i hope you like it our record requires only the simplist of equipment an ordinary phonograph needle a 4 inch speaker and a 38 caliber revolver naturally the record is long played even though you may not be so why dont you relax lean back and enjoy urself until the coroner comes oop my penis is comin out there must be trouble in the monkeyhouse fever runnin cage to cage either one in change for change both of us with glass between us bittering and banging singing in sanging spinnin and hangin out yingin and yangin whats the big idea comin with the sideshow mountain act you could always drop my class if you find it too challenging that way nobody knows a face we just take it to a higher gear but oh thats why ur weird now you got a barbed wired beard i see you better watch your face protecting your material you know who youre dealing with here im flakier than breakfast cereal i changed all levels and i replaced all players but im tired in runnign around liek baseball players always got trouble on the mind developed the feed of prophets tell the deceased about it go yell at a priest and shout it out loud is here new laws in stoen windblown you saw the infection with bad knees and an ingrown duel claw bitch you got lucky with the phone calls and the spread sheets so cut the crap out along with the cigarettes and the red meats this fate can see in your eyes trying to match manuvers with your mouth open looks liek youre diamonds scratched and hearts champed play along safe inside me it doesnt matter what you think you no floats and row boats when u hit below dont say dohmeew meew got to get out of here slur my esses then you blur my message i got a long list of reasons and an even longer rope to tie demons aint supposed to cry tears enough to soak the sky pourin out of both your eyes cross your legs and hope to die sketch artist what noo  nowww i feel like goin out ive got enough love to fill the place ill come to your house and ovulate on your pillow case i know where im going so i dont even need to look i should probably do a show you know but id really rather read a book so pay me lots of money now im done paying dues and im not putting the pressure on and im not saying jews but ive accepted challenges and ive taken many dares and its hard to make it all come back when you havent been anywhere so we can have a sleepover ill lay a towel down you can do the rest and then well both make a vowel sound single white female we can play connect the dots but gimme a second to myself to just collect my thoughts uhh now meet me at the great taste show me your soul and ill try to keep a straight face i know you are pissed in the past and you were put off why dont you take it out on me and shoot the last of your foot off switzerland what about girls and what about jobs and what about all the tiem that was spent in the what about fogs i should pull your pants down for no reason and spank you but i wont if u be a good boy   please and thank you now i say jump you say how high its the grim reaper vs the gym teacher and it goes like you talking to me im the only one standing here you make the move mm okay uhyah i got a i got a long list of reasons and an even longer rope to tie demons aint supposed to cry tears enough to soak the sky pouring out of both your eyes cross your legs and hope to die sketch artist what noo  you dont know me  and the coolest coolest thing about buck was that he was one of us didnt smoke didnt drink didnt kiss no women it was great cause you could really talk to buck and he would hear ya oh one time they threw buck out the 3rd story window he landed on the ground thud that cat was stiiiill goin jack haha we were all goin goo aheead buck that was really cooool man song 2 you try so hard you jump so high then you run so fast and you dont know whyyou gotta try so hard jump so high and you run so fast and dont knwo whyyou gotta try again try try again  the try hards drive cars that need new parts they got vampire fangs and see thru hearts but they wouldnt be caught dead without the right clothes on the harder they try the more everything goes wrong the tryhards talk until the back of my neck hurts no matter what the topic is the experts the tryhards cant dance but do dance anyways then they say tryhards are kinda retarded but i wouldnt go that far i shoudl mention for starters theyre modern day maureders just dyin for attention yeah tryhards candy coated comedians live thru medium sized imaginations lies and exagerrations all on an average weekday they have a unique way of making you want to vomit drama slash nonsense akways part of the content opinions and comments from cowboys and indians climbin a steep hill just for a cheap thrill dancin queens cant seem to keep still the tryhards dotn sleep well they just toss and turn and im not concerned about it to tell you the truth they get on my nerves i refer to them as perverted earthworms as they prefer to play dirty the tryin hardest theyd probably say im an artist obvious novices that just feel so informed thats its even more annoying than being trapped in a toystore with hardcore rappers paraders and wannabes i say probably highway robbery aint worse than being pestered by this type of person tryhard children still throw tantrums on their mattresses in their mansions and pay attention fully to the bully with the headphones fascinated actually with makin a fashion statement tryhards dont know how to relax its ridiculous how he always overreacts the tryhards just go along for the ride i guess the need for speed can be stronger than pride  the tryhardsthey jump so high they run so fast and dont know why song 3   cries a girl or stella appeared on the other bucks albums i was raised on a dirt road ghost town stray dogs whole nine the gold mine closed down i knew the woods like the back of my hand and i would shoot the breeze with the roots and trees id go by the river and watch the way the devil dances but never took his hand even though i did have several chances everybody slept when the morning dew turned to frost darkness moved in and somebody burned a cross a girl named stella cuwin was prettier than youd imagine the town shouldve given her the crown for the beauty pageant but instead some local pinhead started spreading rumors about the cuwins being inbreds and whats worse people believed it cause the family was dirt poor and down on their luck so that made it hurt more picking up garbage and mowing the grass at this point stella stopped going to class you know how they ridicule a kid in school and this shits enough to make anybody feel like a misfit she made herself invisible and hid inside a house of mirrors whenever the fear stops so did the tear drops but fear is forever and lies become legend and eventually growing slowly exponentially she shouldve been a cover girl treated like a princess but shes an enigma haunted by the stigma of incest she tried to hide the scars her name reminds me of the stars i saw diamonds divide in the corners of her eyes she tried to hide the scars her name reminds me of the stars i saw diamonds divide in the corners of her eyes one horse town known for the most softness little old schoolhouse burned down post office blueberries and bulrushes a tree with a tire swing volunteer firemans fair the whole entire thing stella was heartbroken decided to start smoking bad taste in her mouth she grew into a sad face her few friends were worried but her parents were always pround of her but she never escaped from under the cloud cover a woman reduced she was eaten by a monster and after all these years the past it still haunts her it whispers her name when shes trying instead to just listen to music while shes lying in bed now the story of stella is one that every child knows but the witch in the woods is more like a wild rose she tried to hide the scars her name reminds me of the stars i saw diamonds divide in the corners of her eyes she tried to hide the scars her name reminds me of the stars i saw diamonds divide in the corners of her eyes
Grumpy		Synesthesia	oops up on the wrong side of the bed im in a bad mood brooding like achilles type attitude including a short fuse shitfaced and pissy pants you better keep your distance my panties are twisted anti resistant red hot and bothered blistered and bloodshot rotten and dirty disturbed is the word im down in the dumps perturbed if you prefer im grumpy as something im one grouchy grampa dusty and disgruntled and crusty you better not test me trust me im a flustered old bastard my feathers are ruffled so back off buster you best not stress me just dont bug me im hungry and ugly so dont try to hug me please and thank you im cranky for some reason maybe im crazy a phase i suppose its just one of those days it comes and it goes i probably just need a rest just a little pms i dont mean to be a pest so leave me alone im a little low on patience dont ask questions im not open to suggestions im hoping to cope with it myself and im sure itll help if i practice and act immature im a prickly cactus a barbed wire bulldog a bump on a log guard ball im god awful i dont wanna take a pill i dont wanna take a walk i dont wanna go to sleep i dont wanna have a talk this is my grumpy song for when theres something wrong i dont know what it is it shouldnt be but it is x3 dont wanna take a pill i dont wanna take a walk i dont wanna go to sleep i dont wanna have a talk
Poop and Pee		Synesthesia	jen and me together kick enough ass to start a riot take us on two and two if you think you got the heart to try it we got the looks and of course you know our buns are crunchy plus we got the brains between the two of us to run the country so dont even come around here if you arent special we can beat any other team in a arm wrestle were like a circus act with spectacular costumes eat our exhaust fumes or at least put on sun glasses and watch how our young asses emit pure sunshine then filled the entire sky with fireworks one time bam like that we rock like eightys hair bands then we take the time to build a bridge with our bare hands no problem all in a days work you wanna make a bet we could run a marathon and not even break a sweat first place every time just like a walk in the park wanna know how dope we are just take a shot in the dark go ahead guess were like stunt people for the love of god were above the lawbullet proof super human never been to cooper union been around the moon and back got plans to go again sometime soon in fact we get asked a lot if were astronauts just as an after thought we clown around and laugh a lot we kick ass quick fast but never reckless eat a complete breakfast father son and holy ghost scrambled eggs and whole wheat toast packed full of goodness were cooler than refrigerators watch us glide up and down the street like figure skaters you cant stand us its like were from another planet no wonder some fellas get jealous of us were number one unusual musical miracle workers at your service its natural to be a bit nervous at first actually many men have died wondering when and why what could ever possibly stop jen and i
Rat’s Ass/Customs		Synesthesia	standin on the side of the road with a long shadow and suitcases going nowhere and i dont care im a grown man hold my own hand kickin my own ass for cryin im dyin on the inside they dont know who i am filthy fraught and haunted by a guilty conscience runnin away and all because of silly nonsense gone since   god knows when and i aint comin back knowin that no one gives a rats ass anyway i just wanna find a place where i can sit in a rocking chair no matter how far even if it means walking there maybe ill get me a dog for some company its better than tryin to figure out somebody give me a good book a radio and a sewing machine a place in the woods by the ocean and no inbetween i gotta get rid of these dark circles and headaches maybe if i meditate rather than medicate i can no longer hesitate i get so frantic but what if my wishes are overly romantic though the suns too low in the sky for second guesses i reken and im used to taking chances breakin a few branches and gettin lucky now and then findin some trouble was just a matter of how and when and now i take notes and make boats from burch bark but stress still shows in my face like a birthmark as soon as i get where im going im going to wash my hands thoroughly and start getting out of bed earlier its curious the way ive tried vicariously to fly so low to the ground and so carelessly how embarassing i cant wait to call it quits knowing that more and more tiring is all it gets ive applied various and unique strategies read a few greek tragedies and fasted for two weeks been rollin around in the hole in the ground no surprise both my eyes are swollen shut im stranded with no supplies i need a lift what have i done
Toxic Constituents		Synesthesia	shit some start smokin for weird reasons concerning fashion but me i hate all of that shit with a burning passion cigarette something gets my eyebrows all in a twist ballin a fist yellow fingers can call it a diss cause like i dont want all of my eyeballs dried out so head for the hideout man ya should have never tried out stay home blow that smoke up your own ass mow the grass youre grossin me out with every second breath youre begging death youre making me choke i wish youd hurry up and start takin a stroke i dont say it for the sake of a joke id rather snack on a cactus with asbestos its why i prefer doin shows out on the west coast no smoking only im the cardiovascular muscular masculine spectacular gas mask wearin rap mass whos strapped with an ash tray but some mcs come to please with the gum disease instead stayin alive for the full suit of armor maybe but smoke and cigarettes during pregnancy can harm your baby bad idea as soon as i see someone lightin up it puts me on edge and my stomach muscles tighten up please keep your cancer to yourself with your black lungs the wack ones bum smokes from someone when they lack funds trust me it feels like my throat is rusting my lungs are busting its frustrating and disgusting smoke smoke smoke smoke smoke smoke smoke smoke smoke smoke smoke smoke smoke smoke smoke smoke smoke smoke smoke smoke smoke smoke smoke smoke smoke smoke smoke smoke smoke smoke can you smell the smoke
Skill Saw		Synesthesia	sixty five repeats 65 times everybody say yeah
Hot Lunch		Synesthesia	i look good always but especially today professionally fresh on display like hey take a picture its not a dream im flat out gorgeous maybe its because i eat a lot of oranges i dont know i cant help it im not even tryin really im hot you think im lyin look at my ass and pants give it more than a passing glance stare at it a while compare it to a peach each cheek if you can bear it breath me in deeply im like an airy breeze whipserin blowin through the branches of the cherry trees ima treat em a nice little surprise for your eyes look too long though and it could be your demise it aint a disguise im flyer than an eagle skys the limit besides the fact that im barely legal its too easy im sorry i cant help askin it and bad news im gettin better lookin with every passin minute im pretty pretty but i take it all in stride thing is im even more beautiful on the inside im nice im so nice with the winning smile im stylish in fashion make a wish with my eyelashes im magical actually casual traditional mystical in top physical condition well oiled machine perfectly peachy keen its freaky really equally squeaky clean frequently i look good and you look but not as good as me im so dope
Mouth Wash		Synesthesia	the f word feels ugly in my mouth clumsy huff and puff but i guess im not tough enough id have to say mainly it makes me feel strangely and frankly im not that angry a person so cursin and swearin aint part of my presentation play me on the radio without a moments hesitation dont ever worry about your little sister listenin i used to have this thing for model helena christensen which is completely irrelevant blueberry elephant anyway i like to consider myself more eloquent i got more potent potions in my syringe and when i hear one of my old songs with the f word i cringe now im not tryin to make anyone feel lesser its just that it dont go with any of the clothes in my dresser some people think that its the best word in the english language but for some reason recently it causes me anguish saying the f word takes too much effort except when im having sex i say it next to never saying the f word takes too much effort except when im having sex i say it next to never saying the f word takes too much effort except when im having sex i say it next to never saying the f word takes too much effort except when im having sex i say it next to never
Attack of the Nerds 2001		Synesthesia	im 65 im not retirin i dont care about youre tippy tappy typist the happy hippies tryin ta say that youre the hypest yeah you can spell but your soul is made of silicon you got no skeleton youre talkin on the telephone thats why im off the hook and im on stage with moka only in style city makin people smile pretty or else im at the race track with prince vince for instance been doin this thing since we were infants listen i dont play not with kiddies and card sharks naw north american man i like titties and car parts and study star charts and cloud formations meticulous religious its rather ridiculous really though im playin xylophone on your sisters ribs pickin out christmas decorations with mr dibbs shootin pool with kid koala talkin bout our girlfriends rollin with the molemen til the day the world ends and why not i gotta lotta love and some airmiles one of the best hairstyles slash fashion combinations and conversations with greg nice in austin texas im off the checklist life on the road is often reckless startin the day off right with some capn crunch chomp later on me and swampll grab some lunch probably walkin til my legs get wobbly dont put your hands in the air its not a robbery dont say ho unless youre wearin a toupee im gettin together with the stero on tuesday shoppin for shoes i cant stop the bleedin wheres top speed when you need em huh im callin jimmy castor to get me past the recipes the rest of these referees and rest in peace indefinitley im desperately lookin for the perfect beat to break in half my back is killin me and i really need to take a bath it makes me laugh some of these kid tactics are drastic just ask cut chemist from jurassic meanwhile me and slug are doin arts and crafts drawin charts and graphs with my friends from the livin legends im out here with styles of beyond playin frisbee until we get dizzy then we go and get a freezie point is im easy goin no need to hide for but some folks really need to get outside more you cant chop wood with an axe made of words its attack of the nerds 2001
Attack Of The Nerds		Synesthesia	im 65 im not retirin i dont care about youre tippy tappy typist the happy hippies tryin ta say that youre the hypest yeah you can spell but your soul is made of silicon you got no skeleton youre talkin on the telephone thats why im off the hook and im on stage with moka only in style city makin people smile pretty or else im at the race track with prince vince for instance been doin this thing since we were infants listen i dont play not with kiddies and card sharks naw north american man i like titties and car parts and study star charts and cloud formations meticulous religious its rather ridiculous really though im playin xylophone on your sisters ribs pickin out christmas decorations with mr dibbs shootin pool with kid koala talkin bout our girlfriends rollin with the molemen til the day the world ends and why not i gotta lotta love and some airmiles one of the best hairstyles slash fashion combinations and conversations with greg nice in austin texas im off the checklist life on the road is often reckless startin the day off right with some capn crunch chomp later on me and swampll grab some lunch probably walkin til my legs get wobbly dont put your hands in the air its not a robbery dont say ho unless youre wearin a toupee im gettin together with the stero on tuesday shoppin for shoes i cant stop the bleedin wheres top speed when you need em huh im callin jimmy castor to get me past the recipes the rest of these referees and rest in peace indefinitley im desperately lookin for the perfect beat to break in half my back is killin me and i really need to take a bath it makes me laugh some of these kid tactics are drastic just ask cut chemist from jurassic meanwhile me and slug are doin arts and crafts drawin charts and graphs with my friends from the livin legends im out here with styles of beyond playin frisbee until we get dizzy then we go and get a freezie point is im easy goin no need to hide for but some folks really need to get outside more you cant chop wood with an axe made of words its attack of the nerds 2001
